id,created_at,likes,share,hashtags,user_id,sentiment,text,is_ad,image
003fa0bc-f828-44ca-b932-9e36c0b6ee15,2020-08-08 19:45:00,70,35,#Inspiration #OlympicAchievement,36902432-5cc3-4aa5-9d91-471c330cc2d1,,"At the Olympics, the athlete's perseverance shines through, earning a gold medal and inspiring a generation with their remarkable achievement.",false,https://images.pexels.com/photos/911738/pexels-photo-911738.jpeg
0041af90-6f83-47ac-8604-250d9c278bc9,2023-02-12 19:45:00,45,22,#CreativeInspiration #CoffeeJourney,59665a53-5d2d-4f11-bd4f-325594bf0c14,,"Engulfed in the aroma of freshly brewed coffee, the writer finds inspiration in every sip, embarking on a journey of creativity and prose.",false,https://images.pexels.com/photos/1117542/pexels-photo-1117542.jpeg
011b1255-4bf6-449c-a933-6d2d2a1fb764,2019-11-08 14:45:00,35,18,#Regret #FadingPossibilities,8932f764-8663-4efe-b5b8-7509d857e153,,"Haunted by the specter of lost possibilities, a ghost that refuses to fade away.",false,https://images.pexels.com/photos/209831/pexels-photo-209831.jpeg
01a8c98b-c54f-414c-959b-0744cbed0514,2023-06-21 19:00:00,35,18,#MindfulLiving #SeniorCalm,bc1f7e4a-d3a3-4681-bdc8-2990fbf7e59d,,"Exploring the art of meditation, finding tranquility in the stillness of the mind. #MeditationJourney #TranquilMind",true,https://images.pexels.com/photos/163452/basketball-dunk-blue-game-163452.jpeg
01ba97b6-313d-4677-8f59-a67391dd78b8,2022-01-05 10:30:00,25,12,#Ambivalence #ConflictingFeelings,bc1f7e4a-d3a3-4681-bdc8-2990fbf7e59d,,"A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence.",false,https://images.pexels.com/photos/317157/pexels-photo-317157.jpeg
01f7aeab-3f40-4975-ae1f-01733bf76a4f,2023-07-09 22:30:00,40,20,#StagePassion #SeniorTheater,8932f764-8663-4efe-b5b8-7509d857e153,joy,"Participated in a local theater production, proving that the stage belongs to every age. #TheaterProduction #SeniorActor",true,https://images.pexels.com/photos/436413/pexels-photo-436413.jpeg
0231cb09-2fc7-4b42-ab4c-8bc983c5c849,2016-08-20 18:30:00,35,18,#Pressure #GolfDefeat,8932f764-8663-4efe-b5b8-7509d857e153,,"In the golf tournament, a missed crucial putt results in defeat, causing the golfer to reflect on the pressure of high-stakes competition.",false,https://images.pexels.com/photos/317155/pexels-photo-317155.jpeg
0246bcef-71e6-4fed-b17b-f3f85514d356,2023-10-08 15:15:00,48,24,#CareerDevelopment #HighSchoolJobs,8932f764-8663-4efe-b5b8-7509d857e153,neutral,Exploring a new part-time job opportunity for gaining work experience. Career development in progress.,false,https://images.pexels.com/photos/356056/pexels-photo-356056.jpeg
02b113c1-1f8d-4981-835f-9d0aef9e202e,2020-05-20 16:30:00,55,28,#Breakthrough #ScientificDiscovery,8932f764-8663-4efe-b5b8-7509d857e153,,"In the world of science, a breakthrough discovery unfolds, pushing the boundaries of knowledge and opening new frontiers of exploration.",false,https://images.pexels.com/photos/1279330/pexels-photo-1279330.jpeg
0486b019-971a-4d65-9ec7-a7216ea70839,2023-01-31 19:00:00,40,20,#Cooking #SpecialDinner,36902432-5cc3-4aa5-9d91-471c330cc2d1,positive,Cooking a special dinner for loved ones.,false,https://images.pexels.com/photos/1693095/pexels-photo-1693095.jpeg
0500b2bd-dcea-47b2-8f29-5bb163e9a5da,2022-04-03 11:45:00,30,15,#Euphoria #ProductLaunchSuccess,59665a53-5d2d-4f11-bd4f-325594bf0c14,,The euphoria of a successful product launch.,false,https://images.pexels.com/photos/1431822/pexels-photo-1431822.jpeg
050415cb-d4aa-4b76-a79a-e53a017247f0,2016-11-15 11:45:00,55,28,#Inspiration #ForestWhispers,59665a53-5d2d-4f11-bd4f-325594bf0c14,,Whispers of inspiration from the rustling leaves in a serene forest.,false,https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg
0531da3b-5f64-4ba4-bd1d-622a6e0cf1cb,2021-04-05 20:15:00,55,28,#Sympathy #GymnasticsFall,59665a53-5d2d-4f11-bd4f-325594bf0c14,,"The gymnast's unexpected fall during a routine sparks a wave of sympathy from the audience, highlighting the vulnerability of sports.",false,https://images.pexels.com/photos/95215/pexels-photo-95215.jpeg
05526526-69f6-495b-b179-2556978bc54c,2020-05-12 19:30:00,50,25,#Serenity #MoonlitPeace,36902432-5cc3-4aa5-9d91-471c330cc2d1,,"Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul.",true,https://images.pexels.com/photos/235985/pexels-photo-235985.jpeg
